company,company_score,rank_company,diff_user_company,rank_user_score
컴퓨존,57.48,310.0,0.010000000000005116,1.0
한양이엔지,57.51,309.0,0.01999999999999602,2.0
아이마켓코리아,57.42,311.0,0.07000000000000028,3.0
에프에스티,57.56,308.0,0.07000000000000028,3.0
코텍,57.4,312.0,0.09000000000000341,4.0
이투스교육,57.59,307.0,0.10000000000000142,5.0
한미글로벌건축사사무소,57.6,306.0,0.10999999999999943,6.0
팅크웨어,57.63,305.0,0.14000000000000057,7.0
한국교육과정평가원,57.34,313.0,0.14999999999999858,8.0
현대캐피탈,57.65,304.0,0.1599999999999966,9.0
장금상선,57.32,314.0,0.1700000000000017,10.0
샤넬코리아(유),57.32,314.0,0.1700000000000017,10.0
커넥트웨이브,57.67,303.0,0.17999999999999972,11.0
코오롱생명과학,57.68,302.0,0.18999999999999773,12.0
유진로봇,57.68,302.0,0.18999999999999773,12.0
캐논코리아,57.69,301.0,0.19999999999999574,13.0
코오롱글로벌,57.29,315.0,0.20000000000000284,14.0
이마트24,57.71,300.0,0.21999999999999886,15.0
해브앤비 유한회사,57.74,299.0,0.25,16.0
하나카드,57.21,316.0,0.28000000000000114,17.0
하나금융티아이,57.77,298.0,0.28000000000000114,17.0
피어,57.2,317.0,0.28999999999999915,18.0
KB손해보험 대구TC,57.78,297.0,0.28999999999999915,18.0
베네통코리아,57.2,317.0,0.28999999999999915,18.0
캡스텍,57.79,296.0,0.29999999999999716,19.0
엔테크서비스,57.18,318.0,0.3100000000000023,20.0
대한제강,57.16,319.0,0.3300000000000054,21.0
현대파워텍,57.13,320.0,0.35999999999999943,22.0
엔이능률,57.85,295.0,0.35999999999999943,22.0
티케이지태광,57.88,294.0,0.39000000000000057,23.0
아이패밀리에스씨,57.88,294.0,0.39000000000000057,23.0
미래엔,57.08,321.0,0.4100000000000037,24.0
한국기초과학지원연구원,57.07,322.0,0.4200000000000017,25.0
조은시스템,57.95,293.0,0.46000000000000085,26.0
루트로닉,57.03,323.0,0.46000000000000085,26.0
대한제당,57.03,323.0,0.46000000000000085,26.0
파라다이스,57.96,292.0,0.46999999999999886,27.0
풀무원식품,57.97,291.0,0.4799999999999969,28.0
한전케이디엔,57.98,290.0,0.4899999999999949,29.0
엔에이치엔커머스,57.99,289.0,0.5,30.0
나무가,58.03,288.0,0.5399999999999991,31.0
퍼시스,58.03,288.0,0.5399999999999991,31.0
동아출판,56.93,324.0,0.5600000000000023,32.0
커피빈코리아,56.93,324.0,0.5600000000000023,32.0
이브릿지,56.92,325.0,0.5700000000000003,33.0
이니스프리,56.9,326.0,0.5900000000000034,34.0
농협정보시스템,58.1,287.0,0.6099999999999994,35.0
씨젠의료재단,58.12,286.0,0.6299999999999955,36.0
스마일게이트홀딩스,56.85,327.0,0.6400000000000006,37.0
인텔리안테크놀로지스,56.85,327.0,0.6400000000000006,37.0
케이티엔지니어링,56.8,328.0,0.6900000000000048,38.0
아성다이소,58.19,285.0,0.6999999999999957,39.0
대림,58.19,285.0,0.6999999999999957,39.0
공항철도,56.79,329.0,0.7000000000000028,40.0
헥토이노베이션,56.77,330.0,0.7199999999999989,41.0
한화손해보험,58.21,284.0,0.7199999999999989,41.0
매그나칩반도체,58.21,284.0,0.7199999999999989,41.0
유신,56.76,331.0,0.730000000000004,42.0
인라이플,58.25,283.0,0.759999999999998,43.0
신도리코,56.73,332.0,0.7600000000000051,44.0
모나미,56.71,333.0,0.7800000000000011,45.0
한국표준과학연구원,58.28,282.0,0.7899999999999991,46.0
신한디에스,58.28,282.0,0.7899999999999991,46.0
메리츠화재해상보험,58.32,281.0,0.8299999999999983,47.0
좋은책신사고,58.32,281.0,0.8299999999999983,47.0
지지무역,56.66,334.0,0.8300000000000054,48.0
아이스크림미디어,56.65,335.0,0.8400000000000034,49.0
우리카드,58.36,280.0,0.8699999999999974,50.0
신세계디에프,56.59,336.0,0.8999999999999986,51.0
공차코리아,56.57,337.0,0.9200000000000017,52.0
케이지이니시스,56.56,338.0,0.9299999999999997,53.0
대신증권,58.42,279.0,0.9299999999999997,53.0
